Sample	Avg_length
10-Abd	Average: 90.0502
10-Abd-PMA	Average: 76.2599
10-AC	Average: 93.1518
10-FA	Average: 91.9576
10-FA-PMA	Average: 81.4768
10-FH	Average: 100.613
10-FH-PMA	Average: 90.8876
10-PC	Average: 85.2473
10-UB	Average: 98.45
10-UB-PMA	Average: 81.8849
11-Abd	Average: 99.1061
11-AC	Average: 100.477
11-AC-PMA	Average: 75.4969
11-FA	Average: 91.5343
11-FA-PMA	Average: 71.4542
11-FH	Average: 102.93
11-FH-PMA	Average: 101.137
11-PC	Average: 78.0658
11-PC-PMA	Average: 66.4217
11-UB	Average: 99.3865
11-UB-PMA	Average: 98.2605
1-Abd	102.4635
1-Abd-PMA	99.09935
1-AC-PMA	95.49305
1-AC	Average: 102.839
1-FA-PMA	Average: 88.9282
1-FH	99.56215
1-FH-PMA	95.6759
1-PC-PMA	82.8913
1-UB	102.509
1-UB-PMA	98.0855
2-Abd-PMA	Average: 75.1317
2-AC	Average: 82.3927
2-AC-PMA	Average: 75.1185
2-FA	Average: 89.1402
2-FH	Average: 98.406
2-FH-PMA	Average: 84.3525
2-PC	Average: 99.7047
2-PC-PMA	Average: 81.6288
2-UB	Average: 93.9129
2-UB-PMA	Average: 70.9169
3-Abd	Average: 91.2632
3-Abd-PMA	Average: 93.891
3-AC	Average: 85.1478
3-AC-PMA	Average: 87.0838
3-FA	Average: 92.2617
3-FH	Average: 84.3723
3-FH-PMA	Average: 95.4014
3-PC	Average: 92.6917
3-PC-PMA	Average: 67.1658
3-UB	Average: 103.331
3-UB-PMA	Average: 95.9261
4-Abd	Average: 85.773
4-AC	Average: 91.5836
4-AC-PMA	Average: 77.129
4-FA	Average: 86.6977
4-FA-PMA	Average: 70.2946
4-FH	Average: 99.089
4-FH-PMA	Average: 86.6895
4-PC	Average: 76.0953
4-PC-PMA	Average: 69.1614
4-UB	Average: 104.942
4-UB-PMA	Average: 98.7066
5-Abd	Average: 90.7357
5-AC	Average: 93.9003
5-AC-PMA	Average: 87.487
5-FA	Average: 87.4044
5-FA-PMA	Average: 79.665
5-FH	Average: 101.334
5-FH-PMA	Average: 98.219
5-PC	Average: 88.2837
5-PC-PMA	Average: 78.1182
5-UB	Average: 107.011
5-UB-PMA	Average: 86.895
6-Abd	Average: 99.2301
6-AC	Average: 98.7339
6-AC-PMA	Average: 69.2354
6-FA	Average: 87.7653
6-FH	Average: 94.5005
6-FH-PMA	Average: 83.6167
6-PC	Average: 96.2878
6-PC-PMA	Average: 73.4141
6-UB	Average: 99.4035
6-UB-PMA	Average: 72.7735
7-Abd	Average: 97.3424
7-AC	Average: 95.7281
7-FA	Average: 87.98
7-FA-PMA	Average: 65.3731
7-FH	Average: 100.218
7-FH-PMA	Average: 93.62
7-PC	Average: 89.8554
7-PC-PMA	Average: 83.9927
7-UB	Average: 100.698
7-UB-PMA	Average: 82.1346
8-Abd	Average: 94.3
8-Abd-PMA	Average: 63.7117
8-AC	Average: 89.2754
8-AC-PMA	Average: 72.0215
8-FA	Average: 95.9807
8-FA-PMA	Average: 71.0853
8-FH	Average: 101.618
8-FH-PMA	Average: 95.8198
8-PC	Average: 93.8734
8-PC-PMA	Average: 65.4206
8-UB	Average: 95.2899
8-UB-PMA	Average: 72.9345
9-Abd	Average: 96.321
9-AC	Average: 99.6752
9-AC-PMA	Average: 76.1329
9-FA	Average: 96.2366
9-FH	Average: 85.8454
9-FH-PMA	Average: 87.6639
9-PC	Average: 98.651
9-PC-PMA	Average: 74.2794
9-UB	Average: 100.983
